,ibns_20u,vgs_m1,name,type,time,OK
0,20.86401,0.687805,tran_SchGtKttmmTtVt_29,Sch,Mon Jan  6 17:20:33 2025,True
1,19.99609,0.684214,tran_SchGtKttmmTtVt_28,Sch,Mon Jan  6 17:20:33 2025,True
2,20.68441,0.6861976,tran_SchGtKttmmTtVt_27,Sch,Mon Jan  6 17:20:32 2025,True
3,20.11716,0.6839126,tran_SchGtKttmmTtVt_26,Sch,Mon Jan  6 17:20:32 2025,True
4,21.27147,0.6888955,tran_SchGtKttmmTtVt_25,Sch,Mon Jan  6 17:20:32 2025,True
5,20.893140000000002,0.6868575,tran_SchGtKttmmTtVt_24,Sch,Mon Jan  6 17:20:32 2025,True
6,19.42934,0.6828974,tran_SchGtKttmmTtVt_23,Sch,Mon Jan  6 17:20:32 2025,True
7,20.645500000000002,0.6883491,tran_SchGtKttmmTtVt_22,Sch,Mon Jan  6 17:20:31 2025,True
8,18.847939999999998,0.6823129,tran_SchGtKttmmTtVt_21,Sch,Mon Jan  6 17:20:31 2025,True
9,20.95594,0.68898,tran_SchGtKttmmTtVt_20,Sch,Mon Jan  6 17:20:31 2025,True
10,22.40827,0.6889642,tran_SchGtKttmmTtVt_19,Sch,Mon Jan  6 17:20:31 2025,True
11,21.03241,0.688533,tran_SchGtKttmmTtVt_18,Sch,Mon Jan  6 17:20:30 2025,True
12,22.14741,0.691484,tran_SchGtKttmmTtVt_17,Sch,Mon Jan  6 17:20:30 2025,True
13,20.56967,0.6854931,tran_SchGtKttmmTtVt_16,Sch,Mon Jan  6 17:20:30 2025,True
14,21.871689999999997,0.6895397,tran_SchGtKttmmTtVt_15,Sch,Mon Jan  6 17:20:30 2025,True
15,20.28192,0.6876689,tran_SchGtKttmmTtVt_14,Sch,Mon Jan  6 17:20:30 2025,True
16,19.767329999999998,0.6852264,tran_SchGtKttmmTtVt_13,Sch,Mon Jan  6 17:20:29 2025,True
17,20.10576,0.6848753,tran_SchGtKttmmTtVt_12,Sch,Mon Jan  6 17:20:29 2025,True
18,20.03756,0.6842044,tran_SchGtKttmmTtVt_11,Sch,Mon Jan  6 17:20:29 2025,True
19,18.835449999999998,0.6826861,tran_SchGtKttmmTtVt_10,Sch,Mon Jan  6 17:20:29 2025,True
20,20.86616,0.686473,tran_SchGtKttmmTtVt_9,Sch,Mon Jan  6 17:20:29 2025,True
21,22.18344,0.6898775,tran_SchGtKttmmTtVt_8,Sch,Mon Jan  6 17:20:28 2025,True
22,19.964119999999998,0.6835781,tran_SchGtKttmmTtVt_7,Sch,Mon Jan  6 17:20:28 2025,True
23,20.41286,0.6862121,tran_SchGtKttmmTtVt_6,Sch,Mon Jan  6 17:20:28 2025,True
24,21.41253,0.6891731,tran_SchGtKttmmTtVt_5,Sch,Mon Jan  6 17:20:28 2025,True
25,22.38615,0.6894855,tran_SchGtKttmmTtVt_4,Sch,Mon Jan  6 17:20:28 2025,True
26,21.68338,0.6896945,tran_SchGtKttmmTtVt_3,Sch,Mon Jan  6 17:20:27 2025,True
27,21.15558,0.687211,tran_SchGtKttmmTtVt_2,Sch,Mon Jan  6 17:20:27 2025,True
28,21.953689999999998,0.6898702,tran_SchGtKttmmTtVt_1,Sch,Mon Jan  6 17:20:27 2025,True
29,20.77375,0.6863082,tran_SchGtKttmmTtVt,Sch,Mon Jan  6 17:20:27 2025,True
